iter	Passed	Remaining
403	9439	2243
404	9467	2220
405	9489	2197
406	9512	2173
407	9534	2149
408	9556	2126
409	9580	2103
410	9603	2079
411	9625	2055
412	9649	2032
413	9675	2009
414	9699	1986
415	9723	1963
416	9746	1939
417	9770	1916
418	9792	1893
419	9816	1869
420	9838	1846
421	9862	1822
422	9885	1799
423	9907	1775
424	9930	1752
425	9952	1728
426	9974	1705
427	9997	1681
428	10020	1658
429	10043	1634
430	10065	1611
431	10089	1588
432	10113	1564
433	10136	1541
434	10160	1518
435	10183	1494
436	10206	1471
437	10228	1447
438	10250	1424
439	10273	1400
440	10295	1377
441	10317	1353
442	10340	1330
443	10362	1307
444	10385	1283
445	10410	1260
446	10432	1236
447	10455	1213
448	10477	1190
449	10500	1166
450	10523	1143
451	10545	1119
452	10570	1096
453	10593	1073
454	10616	1049
455	10627	1025
456	10650	1002
457	10672	978
458	10695	955
459	10717	931
460	10740	908
461	10762	885
462	10785	861
463	10808	838
464	10830	815
465	10853	791
466	10876	768
467	10898	745
468	10921	721
469	10943	698
470	10966	675
471	10988	651
472	11010	628
473	11034	605
474	11056	581
475	11079	558
476	11102	535
477	11126	512
478	11148	488
479	11170	465
480	11193	442
481	11216	418
482	11239	395
483	11261	372
484	11284	349
485	11307	325
486	11330	302
487	11355	279
488	11378	255
489	11404	232
490	11427	209
491	11450	186
492	11472	162
493	11496	139
494	11518	116
495	11541	93
496	11564	69
497	11586	46
498	11609	23
499	11631	0
